Date,Close
2006-05-05,50.1
2006-05-08,49.13
2006-05-09,48.71
2006-05-10,49.04
2006-05-11,47.67
2006-05-12,46.98
2006-05-15,45.76
2006-05-16,45.82
2006-05-17,44.61
2006-05-18,44.99
2006-05-19,44.64
2006-05-22,43.74
2006-05-23,43.62
2006-05-24,44.81
2006-05-25,44.23
2006-05-26,44.5
2006-05-30,43.48
2006-05-31,42.74
2006-06-01,43.38
2006-06-02,42.86
2006-06-05,40.85
2006-06-06,39.39
2006-06-07,39.2
2006-06-08,39.06
2006-06-09,39.49
2006-06-12,38.08
2006-06-13,37.55
2006-06-14,37.53
2006-06-15,39.59
2006-06-16,39.08
2006-06-19,38.19
2006-06-20,37.72
2006-06-21,39.02
2006-06-22,38.6
2006-06-23,38.89
2006-06-26,39.63
2006-06-27,38.61
2006-06-28,38.6
2006-06-29,39.78
2006-06-30,39.37
2006-07-03,39.27
2006-07-05,38.64
2006-07-06,38.63
2006-07-07,38.43
2006-07-10,38.18
2006-07-11,37.53
2006-07-12,36.62
2006-07-13,35.83
2006-07-14,34.5
2006-07-17,33.94
2006-07-18,33.17
2006-07-19,34.89
2006-07-20,33.41
2006-07-21,33.42
2006-07-24,34.62
2006-07-25,35.12
2006-07-26,35.13
2006-07-27,34.21
2006-07-28,35.29
2006-07-31,35.04
2006-08-01,34.99
2006-08-02,35.27
2006-08-03,36.83
2006-08-04,36.75
2006-08-07,37.15
2006-08-08,35.64
2006-08-09,34.1
2006-08-10,34.21
2006-08-11,33.43
2006-08-14,33.0
2006-08-15,34.06
2006-08-16,35.6
2006-08-17,35.9
2006-08-18,35.91
2006-08-21,34.97
2006-08-22,35.16
2006-08-23,34.14
2006-08-24,34.57
2006-08-25,34.76
2006-08-28,35.36
2006-08-29,35.47
2006-08-30,35.32
2006-08-31,35.8
2006-09-01,35.83
2006-09-05,35.36
2006-09-06,34.11
2006-09-07,34.5
2006-09-08,34.64
2006-09-11,35.21
2006-09-12,37.28
2006-09-13,37.1
2006-09-14,37.1
2006-09-15,38.0
2006-09-18,38.17
2006-09-19,37.53
2006-09-20,37.23
2006-09-21,36.49
2006-09-22,37.12
2006-09-25,38.46
2006-09-26,38.92
2006-09-27,38.01
2006-09-28,37.86
2006-09-29,37.0
2006-10-02,37.28
2006-10-03,37.0
2006-10-04,37.79
2006-10-05,37.74
2006-10-06,37.53
2006-10-09,38.43
2006-10-10,39.46
2006-10-11,39.04
2006-10-12,40.07
2006-10-13,38.78
2006-10-16,39.09
2006-10-17,38.38
2006-10-18,38.16
2006-10-19,38.52
