Date,Close
2006-06-21,553.52
2006-06-22,557.92
2006-06-23,558.08
2006-06-26,556.32
2006-06-27,561.12
2006-06-28,558.24
2006-06-29,546.0
2006-06-30,546.8
2006-07-03,543.6
2006-07-05,547.6
2006-07-06,546.8
2006-07-07,550.72
2006-07-10,550.16
2006-07-11,547.44
2006-07-12,554.0
2006-07-13,561.44
2006-07-14,563.84
2006-07-17,565.6
2006-07-18,564.0
2006-07-19,554.08
2006-07-20,559.52
2006-07-21,563.12
2006-07-24,553.92
2006-07-25,551.12
2006-07-26,550.32
2006-07-27,553.6
2006-07-28,547.28
2006-07-31,547.36
2006-08-01,550.96
2006-08-02,547.6
2006-08-03,546.4
2006-08-04,547.52
2006-08-07,549.12
2006-08-08,551.52
2006-08-09,553.44
2006-08-10,551.6
2006-08-11,553.52
2006-08-14,552.4
2006-08-15,546.16
2006-08-16,541.44
2006-08-17,540.48
2006-08-18,539.2
2006-08-21,540.88
2006-08-22,540.88
2006-08-23,544.0
2006-08-24,542.4
2006-08-25,542.56
2006-08-28,540.0
2006-08-29,539.28
2006-08-30,539.28
2006-08-31,539.12
2006-09-01,536.8
2006-09-05,536.32
2006-09-06,541.92
2006-09-07,544.8
2006-09-08,542.48
2006-09-11,542.88
2006-09-12,536.88
2006-09-13,534.64
2006-09-14,536.0
2006-09-15,535.04
2006-09-18,534.24
2006-09-19,535.28
2006-09-20,532.64
2006-09-21,535.36
2006-09-22,537.44
2006-09-25,532.8
2006-09-26,528.64
2006-09-27,528.96
2006-09-28,528.56
2006-09-29,529.68
2006-10-02,532.16
2006-10-03,530.96
2006-10-04,524.48
2006-10-05,523.44
2006-10-06,524.4
2006-10-09,524.64
2006-10-10,524.0
2006-10-11,525.36
2006-10-12,520.64
2006-10-13,519.44
2006-10-16,518.64
2006-10-17,520.56
2006-10-18,520.24
2006-10-19,519.92
2006-10-20,519.36
2006-10-23,516.8
2006-10-24,516.64
2006-10-25,514.8
2006-10-26,512.4
2006-10-27,516.0
2006-10-30,516.8
2006-10-31,517.52
2006-11-01,521.2
2006-11-02,522.0
2006-11-03,522.24
2006-11-06,517.28
2006-11-07,515.68
2006-11-08,514.88
2006-11-09,517.44
2006-11-10,516.64
2006-11-13,515.44
2006-11-14,512.24
2006-11-15,510.64
2006-11-16,509.92
2006-11-17,510.32
2006-11-20,510.56
2006-11-21,509.68
2006-11-22,508.16
2006-11-24,510.4
2006-11-27,518.16
2006-11-28,515.76
2006-11-29,511.04
2006-11-30,509.36
2006-12-01,513.04
2006-12-04,508.0
2006-12-05,505.68
2006-12-06,506.72
2006-12-07,508.32
2006-12-08,508.32
2006-12-11,507.68
2006-12-12,508.56
2006-12-13,507.2
2006-12-14,503.2
2006-12-15,502.16
2006-12-18,504.24
2006-12-19,503.36
2006-12-20,495.12
2006-12-21,496.88
2006-12-22,499.2
2006-12-26,497.52
2006-12-27,493.84
2006-12-28,495.28
2006-12-29,498.4
2007-01-03,499.28
2007-01-04,497.44
2007-01-05,501.6
2007-01-08,500.64
2007-01-09,500.72
2007-01-10,500.24
2007-01-11,497.04
2007-01-12,494.4
2007-01-16,494.8
2007-01-17,494.72
2007-01-18,497.36
2007-01-19,496.88
2007-01-22,499.52
2007-01-23,499.04
2007-01-24,494.48
2007-01-25,499.76
2007-01-26,500.48
2007-01-29,501.12
2007-01-30,498.16
2007-01-31,495.36
2007-02-01,492.24
2007-02-02,491.68
2007-02-05,491.92
2007-02-06,492.08
2007-02-07,491.68
2007-02-08,491.76
2007-02-09,495.52
2007-02-12,497.28
2007-02-13,493.84
2007-02-14,490.24
2007-02-15,489.84
2007-02-16,490.4
2007-02-20,489.36
2007-02-21,489.92
2007-02-22,490.64
2007-02-23,492.4
2007-02-26,493.36
2007-02-27,512.56
2007-02-28,508.8
2007-03-01,509.44
2007-03-02,516.56
2007-03-05,521.2
2007-03-06,512.8
2007-03-07,513.2
2007-03-08,510.24
2007-03-09,509.68
2007-03-12,509.2
2007-03-13,519.84
2007-03-14,514.4
2007-03-15,514.16
2007-03-16,516.64
2007-03-19,510.72
2007-03-20,507.76
2007-03-21,499.44
2007-03-22,498.72
2007-03-23,498.64
2007-03-26,499.12
2007-03-27,498.32
2007-03-28,500.8
2007-03-29,500.88
2007-03-30,502.48
2007-04-02,500.72
2007-04-03,495.92
2007-04-04,495.36
2007-04-05,493.6
2007-04-09,494.0
2007-04-10,492.8
2007-04-11,496.0
2007-04-12,493.28
2007-04-13,491.84
2007-04-16,487.36
2007-04-17,486.0
2007-04-18,485.68
2007-04-19,486.08
2007-04-20,481.92
2007-04-23,483.76
2007-04-24,483.92
2007-04-25,479.04
2007-04-26,478.0
2007-04-27,479.92
2007-04-30,484.0
2007-05-01,482.8
2007-05-02,480.16
2007-05-03,478.0
2007-05-04,476.72
2007-05-07,476.4
2007-05-08,476.72
2007-05-09,475.12
2007-05-10,481.36
2007-05-11,476.4
2007-05-14,478.64
2007-05-15,478.72
2007-05-16,474.8
2007-05-17,475.36
2007-05-18,472.32
2007-05-21,472.64
2007-05-22,472.8
2007-05-23,473.44
2007-05-24,478.0
2007-05-25,475.28
2007-05-29,474.64
2007-05-30,471.6
2007-05-31,471.6
2007-06-01,469.44
2007-06-04,468.8
2007-06-05,471.36
2007-06-06,476.88
2007-06-07,484.8
2007-06-08,479.44
2007-06-11,478.88
2007-06-12,483.92
2007-06-13,476.32
2007-06-14,474.88
2007-06-15,471.76
2007-06-18,472.56
2007-06-19,471.44
2007-06-20,478.08
2007-06-21,475.28
2007-06-22,480.32
2007-06-25,482.96
2007-06-26,482.8
2007-06-27,476.56
2007-06-28,477.52
2007-06-29,477.92
2007-07-02,473.76
2007-07-03,471.44
2007-07-05,471.6
2007-07-06,470.24
2007-07-09,469.52
2007-07-10,476.48
2007-07-11,473.44
2007-07-12,466.4
2007-07-13,464.08
2007-07-16,464.96
2007-07-17,464.56
2007-07-18,465.92
2007-07-19,465.52
2007-07-20,470.4
2007-07-23,468.08
2007-07-24,477.2
2007-07-25,475.6
2007-07-26,488.0
2007-07-27,497.52
